"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","Создание задачи POST /todos @POST","chromium","Thu Dec 19 20:02:33 GMT 2024","passed","Thu Dec 19 20:02:33 GMT 2024","API challenge","apiPW.spec.js","",""
"","54","Выполнить запрос DELETE /heartbeat @DELETE","chromium","Thu Dec 19 20:02:33 GMT 2024","passed","Thu Dec 19 20:02:33 GMT 2024","API challenge","apiPW.spec.js","",""
"","2741","Проверка перехода на страницу производителя","chromium","Thu Dec 19 20:01:39 GMT 2024","passed","Thu Dec 19 20:01:42 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7380","Оставить отзыв","chromium","Thu Dec 19 20:01:05 GMT 2024","failed","Thu Dec 19 20:01:12 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","56","Получить список заданий GET /challenges (200) @GET","chromium","Thu Dec 19 20:02:28 GMT 2024","passed","Thu Dec 19 20:02:28 GMT 2024","API challenge","apiPW.spec.js","",""
"","13082","Проверка кнопки Return the store","chromium","Thu Dec 19 20:02:13 GMT 2024","failed","Thu Dec 19 20:02:26 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6610","Проверка пагинации","chromium","Thu Dec 19 20:01:31 GMT 2024","failed","Thu Dec 19 20:01:38 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","43","Обновление задачи POST /todos @POST","chromium","Thu Dec 19 20:02:33 GMT 2024","passed","Thu Dec 19 20:02:33 GMT 2024","API challenge","apiPW.spec.js","",""
"","4314","Смена валюты","chromium","Thu Dec 19 20:00:42 GMT 2024","passed","Thu Dec 19 20:00:46 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","69","Вернуть определенную задачу GET /todos/{id} @GET","chromium","Thu Dec 19 20:02:31 GMT 2024","failed","Thu Dec 19 20:02:31 GMT 2024","API challenge","apiPW.spec.js","",""
"","55","Создание задачи через PUT /todos @PUT","chromium","Thu Dec 19 20:02:33 GMT 2024","passed","Thu Dec 19 20:02:33 GMT 2024","API challenge","apiPW.spec.js","",""
