"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Выполнить запрос GET без заголовка Accept /todo @GET","chromium","Thu Dec 19 19:39:46 GMT 2024","passed","Thu Dec 19 19:39:47 GMT 2024","API challenge","apiPW.spec.js","",""
"","298","Выполнить запрос HEAD /todos @HEAD","chromium","Thu Dec 19 19:39:40 GMT 2024","passed","Thu Dec 19 19:39:40 GMT 2024","API challenge","apiPW.spec.js","",""
"","295","Создание задачи, в которой содержатся нераспознанные поля POST /todos @POST","chromium","Thu Dec 19 19:39:42 GMT 2024","passed","Thu Dec 19 19:39:42 GMT 2024","API challenge","apiPW.spec.js","",""
"","306","Обновление задачи POST /todos @POST","chromium","Thu Dec 19 19:39:43 GMT 2024","passed","Thu Dec 19 19:39:43 GMT 2024","API challenge","apiPW.spec.js","",""
"","287","Выполнить запрос POST /heartbeat как TRACE  @POST","chromium","Thu Dec 19 19:39:52 GMT 2024","passed","Thu Dec 19 19:39:52 GMT 2024","API challenge","apiPW.spec.js","",""
"","309","Создание задачи с некорретным статусом POST /todos @POST","chromium","Thu Dec 19 19:39:40 GMT 2024","passed","Thu Dec 19 19:39:41 GMT 2024","API challenge","apiPW.spec.js","",""
"","7306","Оставить отзыв","chromium","Thu Dec 19 19:38:12 GMT 2024","failed","Thu Dec 19 19:38:20 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","292","Вернуть определенную задачу GET /todos/{id} @GET","chromium","Thu Dec 19 19:39:39 GMT 2024","passed","Thu Dec 19 19:39:39 GMT 2024","API challenge","apiPW.spec.js","",""
"","591","Выполнить запрос POST /secret/note @POST","chromium","Thu Dec 19 19:39:54 GMT 2024","passed","Thu Dec 19 19:39:55 GMT 2024","API challenge","apiPW.spec.js","",""
"","310","Обновление существующей задачи PUT /todos @PUT","chromium","Thu Dec 19 19:39:43 GMT 2024","passed","Thu Dec 19 19:39:44 GMT 2024","API challenge","apiPW.spec.js","",""
"","588","Выполнить запрос PUT /challenger/guid @PUT","chromium","Thu Dec 19 19:39:48 GMT 2024","passed","Thu Dec 19 19:39:49 GMT 2024","API challenge","apiPW.spec.js","",""
"","310","Запрос OPTION /todos @OPTION","chromium","Thu Dec 19 19:39:45 GMT 2024","passed","Thu Dec 19 19:39:45 GMT 2024","API challenge","apiPW.spec.js","",""
"","2990","Проверка перехода на страницу производителя","chromium","Thu Dec 19 19:38:46 GMT 2024","passed","Thu Dec 19 19:38:49 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","287","Выполнить запрос POST /secret/token неверный admin/password @POST","chromium","Thu Dec 19 19:39:52 GMT 2024","passed","Thu Dec 19 19:39:53 GMT 2024","API challenge","apiPW.spec.js","",""
